List_Type,Company,Product_or_Coverage,Relationship_to_E_and_O,Region,Website,Source_URL,Distributed_By,Notes
Provider_Carrier,Corgi Insurance,Tech and AI Liability (full-stack carrier),Modular Tech E&O + AI liability for startups,US,https://www.corgi.insure/ai,https://www.corgi.insure/ai,,Own carrier; covers hallucinations bias training-data disputes; same-day bind
Provider_Broker,Founder Shield (Baldwin Group),Generative AI Liability (distributes Testudo),Broker/distributor for Testudo gen-AI liability,US,https://foundershield.com/coverage/generative-ai-liability-insurance/,https://foundershield.com/coverage/generative-ai-liability-insurance/,Testudo,Lloyd's A+ capacity via Testudo underwriting; does not underwrite directly
Provider_Carrier,Munich Re,aiSure — AI performance risk transfer,Model performance / warranty-style AI risk (complements E&O),Global,https://www.munichre.com/,https://arxiv.org/html/2606.05449v1,Mosaic,Reinsurer; partners with Mosaic for aiSure distribution
Provider_Carrier,HSB (Munich Re),AI Liability Insurance for SMBs,AI user liability add-on where GL excludes gen-AI,US,https://www.munichre.com/hsb/en/products/ai-liability-insurance.html,https://www.munichre.com/hsb/en/products/ai-liability-insurance.html,,Launched 2026; BI PD advertising injury from AI use
Provider_Broker,Mosaic Insurance,aiSure distribution partner,AI model performance insurance channel,US,https://www.mosaicinsurance.com/,https://arxiv.org/html/2606.05449v1,Munich Re,Distribution for Munich Re aiSure structure
Provider_Carrier,Markel,Miscellaneous E&O + optional AI affirmative endorsement,Standard E&O covers AI negligence; optional AI sublimit endorsement,US,https://www.markel.com/,https://www.businessinsurance.com/ai-use-amplifies-professional-liability-risks/,,Brokers can add affirmative AI coverage endorsement
Provider_Carrier,Coalition,Active Cyber Policy with affirmative AI coverage,Cyber/Tech E&O blend with explicit AI security-failure language,US,https://www.coalitioninc.com/,https://www.coalitioninc.com/blog/cyber-insurance/active-insurance-ai-risk-landscape,,No AI exclusions; deepfake endorsement auto-attached
Provider_Carrier,AXA XL,CyberRiskConnect + Generative AI Endorsement,Cyber program with GenAI overlay (model builders),Global,https://axaxl.com/,https://axaxl.com/press-releases/axa-xl-unveils-new-cyber-insurance-extending-coverage-to-help-businesses-manage-emerging-gen-ai-risks,,Data poisoning usage-rights infringement EU AI Act violations
Provider_Carrier,AIG,CyberEdge Plus,Cyber with cyber-physical AI extension (attack predicate),Global,https://www.aig.com/,https://arxiv.org/html/2606.05449v1,,Bodily injury/PD from cyber-attacks on AI-enabled systems
Provider_Broker,Embroker,Tech E&O with AI affirmative coverage / surplus AI liability,Surplus lines AI liability distribution,US,https://www.embroker.com/,https://www.rmstudygroup.com/blog/does-your-gl-policy-still-cover-ai-the-exclusion-your-next-renewal-may-already-have,,Tech E&O with AI-specific affirmative language; broker/MGA model
Provider_Carrier,CyberAgency,AI Shield (DIC/excess overlay),Canadian AI liability layer above GL cyber E&O gaps,Canada,https://cyberagency.ca/ai-shield,https://cyberagency.ca/ai-shield,,Covers hallucinations bias autonomous agent errors gen-AI IP gaps
Provider_Carrier,Chubb,DigiTech ERM (Tech E&O + cyber + media blend),Broad tech E&O; filing AI exclusions on some lines,Global,https://www.chubb.com/,https://www.rmstudygroup.com/blog/does-your-gl-policy-still-cover-ai-the-exclusion-your-next-renewal-may-already-have,,Also adding AI exclusions to GL/D&O/E&O renewals 2026
Provider_Carrier,Beazley,MediaTech (Tech E&O + media + cyber),Technology E&O with media and cyber sections,Global,https://www.beazley.com/,https://arxiv.org/html/2606.05449v1,,Covers faulty AI software when blended with media/cyber issues
Provider_Carrier,Travelers,CyberRisk,Cyber liability program; adding AI GL exclusions,US,https://www.travelers.com/,https://www.rmstudygroup.com/blog/does-your-gl-policy-still-cover-ai-the-exclusion-your-next-renewal-may-already-have,,Cyber form covers privacy/security/media BI
Provider_Carrier,Resilience,Cyber insurance,Cyber insurer noting AI amplifies professional liability,US,https://www.cyberresilience.com/,https://www.businessinsurance.com/ai-use-amplifies-professional-liability-risks/,,CUO commentary on AI E&O exposure
Broker,Kelly Insurance Group,Agentic AI Liability Insurance review,Broker advisory comparing E&O cyber tech E&O AI wording,US,https://kellyinsurancegroup.com/agentic-ai-liability-insurance/,https://kellyinsurancegroup.com/agentic-ai-liability-insurance/,,Not a carrier; helps map agent workflows to policy forms
Broker,Arthur J. Gallagher,Law firms / professional E&O practice,Traditional broker with AI E&O market commentary,US,https://www.ajg.com/,https://www.businessinsurance.com/ai-use-amplifies-professional-liability-risks/,,Managing director law firms practice on AI E&O
Broker,Newfront,Startup specialty broker,Distribution partner for AI liability per market analysis,US,https://www.newfront.com/,https://www.linkedin.com/pulse/insurance-ai-agents-vikram-aditya-5fbxc,,Named as natural AI liability distribution channel
Broker,Marsh,Enterprise broker,Slowest but largest traditional distribution,Global,https://www.marsh.com/,https://www.linkedin.com/pulse/insurance-ai-agents-vikram-aditya-5fbxc,,Enterprise AI deployment insurance advisory
Broker,Aon,Enterprise broker,Traditional broker market for AI risk transfer,Global,https://www.aon.com/,https://www.linkedin.com/pulse/insurance-ai-agents-vikram-aditya-5fbxc,,Enterprise risk and insurance consulting
Insured_Vendor,ElevenLabs,AIUC-1 certified + AI voice agent insurance,Customer-facing AI agents insured via AIUC-1,Global,https://elevenlabs.io/,https://elevenlabs.io/blog/aiuc-announcement,,First go-live AIUC-1-backed agent insurance policy Feb 2026
Insured_Vendor,Intercom,AIUC-1 certified (Fin AI agent),Customer support AI agent certified for enterprise trust,Global,https://www.intercom.com/,https://aiuc.com/research/case-study-how-intercom-built-enterprise-trust-for-customer-facing-ai-agents,,Fin agent; 5000+ adversarial tests
Insured_Vendor,UiPath,AIUC-1 certified (agentic automation platform),Enterprise automation agents certified,Global,https://www.uipath.com/,https://www.uipath.com/newsroom/uipath-achieves-aiuc-1-certification,,First enterprise automation platform AIUC-1 certified Mar 2026
Insured_Vendor,Ada,AIUC-1 certified (generative AI customer service),AI customer service agents certified,Global,https://www.ada.cx/,https://aiuc.com/product,,Used by major social media platform per AIUC case study
Insured_Vendor,Intryc,Corgi Insurance customer (D&O + Cyber),AI startup insured via Corgi stack,US,https://www.corgi.insure/,https://www.corgi.insure/ai,,Customer story on Corgi site
Insured_Vendor,Seek AI,Vouch AI insurance customer,AI company using Vouch coverage,US,https://www.seek.ai/,https://vouch.us/technology/ai,Vouch,CEO testimonial on Vouch AI page
Insured_Vendor,Oxefit,Vouch AI insurance customer,AI-integrated fitness technology insured via Vouch,US,https://www.oxefit.com/,https://vouch.us/technology/ai,Vouch,Customer testimonial on Vouch AI page
