Vendor,Company,Industry,Region,Source_Type,Source_URL,Notes
Fibery,Tokatab,Education software,,Customer story,https://fibery.com/customer-stories,1-10 employees
Fibery,TrueBrow,Education,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,EduDo,Social learning / entertainment,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,Vochi,Mobile video editing,,Customer story,https://fibery.com/customer-stories,11-50 employees
Ziwo,TBO,Travel / hospitality,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,ASUS Middle East,Consumer electronics,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/asus/,Partner since 2021
Ziwo,TRT Broker,Insurance / brokerage,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,MCI Maroc,Telecommunications,Morocco,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Mubawab,Real estate,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,PetBae,Pet services,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,La Petite Maison,Restaurant / hospitality,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Sumo Sushi & Bento,Restaurant / F&B,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,drivu,Mobility / car sharing,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Revibe,Retail / e-commerce,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Wondergifts,Gifting / e-commerce,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Alaan,Fintech,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Zid,E-commerce platform,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Al Riyadh Travel,Travel,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Waseel,Healthcare / insurance,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,SWYT,Technology,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Hubpay,Fintech,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,GoMyCode,Edtech,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Gold Era,Retail / jewelry,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,ZDegree,Automotive services,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,The Vet Clinic,Veterinary,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Shadwan,Retail,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Clean Life,Cleaning services,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Al Ain Pharmacy,Pharmacy / retail,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Policy Bazaar,Insurance,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Floward,Flowers / gifting,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Tyres Online,Automotive retail,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Luxhabitat,Real estate,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Just Clean,Cleaning services,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,IBT,Business services,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Calo,Food / meal delivery,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Tafaseel,Retail / e-commerce,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Huff Puff Burger,Restaurant / F&B,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Invygo,Car subscription,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/invygo/,Expanded to KSA; IVR and queue management
Ziwo,Mignet Technologies,Technology,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Konvexe,Technology,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Citruss,Media / marketing,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Now Money,Fintech,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Deliveroo,Food delivery,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/deliveroo/,CRM integration during calls
Ziwo,Klaim,Fintech,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Motors Gate,Automotive,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Mysyara,Automotive,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Flexxpay,Fintech / payroll,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Houza,Real estate,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Disc,Retail / e-commerce,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/,
Ziwo,Udrive,Car sharing,MENA,Success story,https://www.ziwo.io/success-stories-testimonials/udrive/,Freshdesk integration; 3X cost savings
