Vendor,Customer,Source_URL,Notes
Skyvern,CarEdge,https://www.skyvern.com/,Browser automation
Skyvern,Pilot,https://www.skyvern.com/,Browser automation
Skyvern,Valence Intelligence,https://www.skyvern.com/,Browser automation
Skyvern,Legion Health,https://www.skyvern.com/,Healthcare automation
Skyvern,Pathmonk,https://www.skyvern.com/,Marketing automation
Abstra,Jusbrasil,https://www.abstra.io/en/customer-stories/jusbrasil,FP&A automation
Abstra,Mercos,https://www.abstra.io/en/customer-stories/mercos,AP automation
Abstra,ClickBus,https://www.abstra.io/en/customer-stories/clickbus-financeiro,Finance automation
Abstra,Onfly,https://www.abstra.io/en/customer-stories/onfly-conciliacao-automatica,Reconciliation
Abstra,NOVVO,https://www.abstra.io/en/customer-stories/novvo,Order automation
Abstra,Dabble,https://www.abstra.io/en/customer-stories/dabble,Order processing
Abstra,Educbank,https://www.abstra.io/en/customer-stories/educbank,School onboarding
Haladir,FIEGE Logistik,https://www.linkedin.com/posts/haladir_haladir-yc-w26,Logistics pilot
Spherecast,HOLY,https://www.spherecast.ai/,Supply chain planning
Spherecast,AG1,https://www.spherecast.ai/,Supply chain
Spherecast,ProHealth,https://www.spherecast.ai/,Supply chain
Spherecast,mammaly,https://www.spherecast.ai/,Supply chain
Spherecast,Swanson Health,https://spherecast.ai/sphereworld,Supply chain
Spherecast,Feastables,https://spherecast.ai/sphereworld,Supply chain
Concourse,Palo Alto Networks,https://concourse.ai/,AI finance agents
Concourse,Lightmatter,https://concourse.ai/,AI finance agents
Concourse,Carrot,https://concourse.ai/,AI finance agents
Concourse,CurbWaste,https://concourse.ai/,AI finance agents
Medius,PUMA,https://www.medius.com/resources/case-studies/puma-video/,AP automation
Medius,Nissan,https://www.medius.com/resources/case-studies/nissan-source-to-pay/,Source-to-pay
Medius,Lush,https://www.medius.com/resources/case-studies/lush-ap-automation/,AP automation
Medius,WD-40 Company,https://www.medius.com/resources/case-studies/wd-40-video/,AP automation
Medius,Marshalls,https://www.medius.com/resources/case-studies/marshalls/,AP automation
Medius,Cineplex,https://www.medius.com/resources/case-studies/cineplex/,AP automation
Medius,SoftwareOne,https://www.medius.com/resources/case-studies/softwareone-ap-automation/,AP automation
Medius,Victaulic,https://www.medius.com/resources/case-studies/victaulic-ap-automation/,AP automation
Medius,Liberty London,https://www.medius.com/resources/case-studies/liberty-london-ap-kpis/,AP automation
Medius,Karl Lagerfeld,https://www.medius.com/resources/case-studies/karl-lagerfeld/,AP automation
Medius,CEVA Logistics,https://www.medius.com/resources/case-studies/ceva-logistics-put-medius-procurement-and-erp-integration-at-the-heart-of-cost-savings-strategy/,Procurement
Medius,Belron,https://www.medius.com/resources/case-studies/belron-source-to-contract/,Source-to-contract
Medius,Center Parcs,https://www.medius.com/resources/case-studies/center-parcs-streamlines-procurement-processes-with-medius/,Procurement
Medius,Mitchells & Butlers,https://www.medius.com/resources/case-studies/mitchells-and-butlers-source-to-contract/,Source-to-contract
Medius,Virgin Active,https://www.medius.com/resources/case-studies/virgin-active-source-to-contract/,Source-to-contract
Medius,Crédit Agricole,https://www.medius.com/resources/case-studies/credit-agricole/,Finance
Medius,Kerry Logistics,https://www.medius.com/resources/case-studies/kerry-logistics/,Logistics
Medius,OVHcloud,https://www.medius.com/resources/case-studies/ovhcloud/,Cloud infrastructure
Medius,Rimowa,https://www.medius.com/resources/case-studies/rimowa/,Luxury retail
Medius,Barratt Developments,https://www.medius.com/resources/case-studies/barratt-developments-source-to-contract/,Construction
Medius,Durham University,https://www.medius.com/resources/case-studies/durham-university-source-to-pay/,Higher education
Medius,Universal Robots,https://www.medius.com/resources/case-studies/universal-robots/,Robotics manufacturing
Medius,David Lloyd Leisure,https://www.medius.com/resources/case-studies/david-lloyd-leisure/,Leisure/hospitality
Medius,LifeHealthcare,https://www.medius.com/resources/case-studies/lifehealthcare/,Healthcare
Medius,R.M. Williams,https://www.medius.com/resources/case-studies/rm-williams/,Fashion retail
Medius,Mowi,https://www.medius.com/resources/case-studies/mowi-ap-automation/,Seafood
Medius,Tikkurila,https://www.medius.com/resources/case-studies/tikkurila-ap-automation/,Paints/chemicals
Medius,Dynapac,https://www.medius.com/resources/case-studies/dynapac-ap-automation/,Construction equipment
Medius,Samuel Son & Co,https://www.medius.com/resources/case-studies/samuel-son-co/,Metals distribution
Medius,Thorlux,https://www.medius.com/resources/case-studies/thorlux/,Lighting manufacturing
Medius,Charterhouse Holdings,https://www.medius.com/resources/case-studies/charterhouse-holdings/,AP automation
Medius,BetVictor,https://www.medius.com/resources/case-studies/betvictor-places-the-winning-bet-on-medius-contract-management/,Gaming
Medius,WWF,https://www.medius.com/resources/case-studies/wwf-automates-procurement-processes-and-enhances-reporting/,Nonprofit procurement
